text	label	prediction	TP
companies getting worse keeping wireless data networks secure survey wi-fi networks london frankfurt new york san francisco rsa security found third basic security features turned contrast last year 's survey found 15 firms failed take basic steps improve security rsa warned wi-fi 's growing popularity made much likely insecure networks would found exploited wireless wi-fi networks become hugely popular last years offices easy set make going online much convenient popularity shows sign slowing reveals annual rsa security netsurity survey found annual 66 growth rate number wireless nets installed london frankfurt although firms take steps turn security functions built wi-fi standard protect attack survey found significant proportion taking unnecessary risks average 33 wireless networks found rsa netsurity researchers london frankfurt new york san francisco used basic security systems many firms simply turning wireless net access points use default settings anyone familiar wi-fi could easily find rsa said 26 wi-fi networks found london used default settings compared 30 frankfurt 31 new york 28 san francisco many users wi-fi nets even turn encryption scrambles data traffic users access point helping go online despite series stories warning firms dangers `` drive-by hacking '' computer criminals walk drive around city centres using easy use tools spot wi-fi nets `` figures another stark warning unsecured businesses get act together '' said phil cracknell chief technology officer netsurity public wi-fi hotspots appear people become familiar using getting likely insecure would found warned mr cracknell `` accidental intentional connection corporate network bring series security issues including loss confidential data installation malicious code '' said	4	2	False
moves lift european union 's ban arms exports china condemned human rights groups conservatives 15 year embargo imposed aftermath china 's crackdown protesters tiananmen square 1989 uk foreign secretary jack straw hold talks beijing thursday said eu arms code effective current ban human rights watch says eu putting commerce abuse concerns december eu pledged work towards lifting ban said ready yet germany france repeatedly called embargo lifted britain cautious mr straw last week said also wanted end despite us objections expects lifted next six months prediction alarmed critics brad adams human rights watch said `` huge political signal europe willing forget tiananmen square `` still thousands people unaccounted '' mr straw said wrong put china embargo countries zimbabwe burma scope embargo narrow force law behind told bbc radio 's world one uk export licences refused existing european union arms code embargo said two licences denied embargo would granted code `` code conduct much effective 's powerful tool intend strengthen pre-condition lifting embargo china '' said mr straw denied decision would suggest china tiananmen square forgotten level human rights key criteria eu arms exports code said human rights groups say code conduct legally binding mr straw said would given legal force laws many eu countries conservative shadow foreign secretary michael ancram said move would `` profoundly wrong '' decision could undermine nato severely damaged relations us opposed ending ban mr ancram argued `` british government giving french german pressure especially french see vast contracts available embargo lifted ... `` gives wrong signals china simply prepared accept happened tiananmen square wrong '' mr straw 's china trip part regular high-level meetings beijing ministers meet chinese counterpart minister li zhaoxing discuss developing relations two countries hong kong china 's part talks north korea	2	2	True
20,000 people banned playing half-life game game maker valve shut online accounts players evidence copy game obtained illegally copies half-life circulating file-sharing systems soon officially released experts said success half-life anti-piracy system might tempt game makers creating version half-life officially released 16 november gamers could get grips long-awaited title forced authenticate copy game online authentication involved setting account valve 's gaming community system called steam letting check copy game run statement detailing banning accounts valve said system helped identify got hold pirated copies `` method used extremely easy valve trace confirm question accounts disabled used try illegally obtain half-life '' read statement valve spokesman doug lombardi said company yet released sales figures game would say proportion steam players 20,000 represented one effect steam 's popularity limit copies game sold shops artificially depress game 's ranking top ten even title debuted uk charts valve also said small number accounts closed people using stolen credit cards buy copies game using stolen steam accounts banned move protested innocence online forums main steam site said punished people account contributors forums wondered action might force piracy people tried get hold successive copies game keep ahead valve 's anti-piracy actions statement valve also said rumours distributed fake half-life keys copies game instructions hack game catch pirates cheats false company said `` hack came 'community '' added banned simply tried use copies half-life circulating file-swapping systems bit torrent rather use hacks get around need cd keys rob fahey editor online news site gamesindustry.biz said mass banning showed power steam system said hard game makers anything piracy game played `` valve taking really effective steps people using illegitimate copies half-life '' said steam proves effective cutting piracy games minimum said mr fahey game makers may tempted set copycat systems `` 's hard see point near future every publisher wants run application system purely allow play games '' said could mean computers get cluttered poorly written steam-type systems used batter people adverts unless game firms careful said could face backlash consumers soon get tired maintaining different accounts every game play	4	2	False
record producer terry melcher behind hits byrds ry cooder beach boys died aged 62 son actress doris day helped write kokomo beach boys used movie cocktail earning 1988 golden globe nomination also produced mr tambourine man byrds well turn turn turn melcher died friday night home beverly hills california long battle skin cancer joined columbia records producer mid-1960s also worked gram parsons mamas papas earlier career melcher hits part duo called bruce terry future beach boy bruce johnston evolved rip chords group melcher also worked closely mother producing doris day show helping run charitable activities 1969 name became linked charles manson murders saw deaths actress sharon tate four friends home melcher rented rumours circulated melcher knew manson killer 's real target turned record contract los angeles police discounted rumours pointing melcher moved malibu manson knew new address	1	1	True
serena williams moved five places second world rankings australian open win williams first grand slam title since 2003 victory lindsay davenport world number one men 's champion marat safin remains fourth atp rankings beaten finalist lleyton hewitt replaces andy roddick world number two roger federer retains top spot safin overtaken hewitt become new leader champions race alicia molik lost three-set thriller davenport quarter-finals women 's top 10 first time career rise means australia player top 10 men 's women 's rankings first time 21 years britain 's elena baltacha qualified reached third round risen 120 world leap 65 places highest ranking yet	3	1	False
tottenham sporting director frank arnesen denied coach jacques santini resigned clash personalities white hart lane newspaper speculation santini felt undermined arnesen 's role club `` absolutely true '' arnesen told bbc radio five live `` one thing made resign personal problems `` talked recently said matter absolutely '' arnesen said unable throw light onto problems caused santini quit 13 games charge added `` jacques never gone exactly trust accept think respect `` plan weekend talks board monday clarify situation '' arnesen countered criticism timing announcement coming less 24 hours tottenham 's premiership fixture charlton `` comes personal problems n't think talk timing '' said also denied reports santini given £3m pay-off `` absolute nonsense one said go went '' said spurs sporting director tottenham 's structure sporting director working alongside coach based continental model arnesen sees reason change `` confidence structure confident started something july still lot confidence tottenham '' said however former spurs england defender gary stevens said would surprised system caused rift `` think problems go lot deeper director football white hart lane santini '' stevens told five live `` paper could worked together frank arnesen creative forward-thinking expansive player whereas think santini much opposite case organised disciplined happy conceding goals `` sort arrangement work two people principles ideals work closely seems happened ''	3	2	False
wales coach mike ruddock says england lock danny grewcock needs review actions kicked dwayne peel trouble flared ruck first half wales 11-9 win cardiff grewcock came recklessly top boot leaving peel bloodied grewcock sin-binned wales captain gareth thomas retaliation `` 's citing commissioner '' said ruddock `` 'm saying 's deliberate grewcock similar thing bath leinster '' last june grewcock banned rugby two months reckless use boot match new zealand six years earlier also new zealand grewcock became second england player sent tests player captain jason robinson said clash peel accidental `` ball back ruck feel step disrupt '' said grewcock ruddock feels england man careful `` boy look actions clumsy piece footwork '' said `` 's great player n't want knock wo n't calling match commissioner review incident `` 'm going go far lad could clumsy action dwayne minor cut `` referee 's interpretation grewcock attempting step ruck '' ruddock also warned rbs nations championship rivals team make massive improvements `` created opportunities also squandered taking contact playing individually '' said coach `` 've looked things video debrief definitely lot chances wasted '' forthcoming games ruddock may use penalty hero gavin henson first-choice kicker place stephen jones `` first aim get gavin settled team 's something 'll talk selection week '' said ruddock	3	2	False
republic ireland manager brian kerr granted wish home game final world cup qualifier ireland close bid reach 2006 finals playing switzerland dublin 12 october 2005 republic met swiss final euro 2004 qualifier losing 2-0 away missing place finals portugal group four fixtures hammered meeting dublin tuesday irish open campaign september home cyprus wrap 10-match series 12 october 2005 visit switzerland manager brian kerr fai officials met representatives switzerland france cyprus israel faroe islands arrange fixture schedule kerr hoped finish clash france got reigning european champions penultimate home match september 2005 manager got wish avoid repeat finishing bid qualify many away matches republic ireland cyprus france israel switzerland faroe islands switzerland republic ireland israel cyprus faroe islands france france republic ireland israel switzerland cyprus faroe islands republic ireland faroe islands cyprus france cyprus israel france switzerland israel republic ireland switzerland cyprus israel france republic ireland israel faroe islands switzerland faroe islands republic ireland august 17 faroe islands cyprus france faroe islands switzerland israel republic ireland france cyprus switzerland faroe islands israel switzerland france israel faroe islands cyprus republic ireland france cyprus republic ireland switzerland	3	3	True
pop star christina aguilera marry music executive jordan bratman singer 's agent confirmed bratman 26 proposed grammy-winning singer aguilera 23 holiday undisclosed location pair together two years `` wedding plans set yet '' said aguilera 's agent meghan prophet aguilera burst onto pop scene 1999 winning best new artist grammy 2000 hits include girl wants dirrty beautiful bratman presented fiancee diamond ring designed jeweller stephen webster friday said ms prophet new york-born aguilera reached number one uk debut hit genie bottle october 1999 early success cemented two grammys subsequent years 2002 aguilera best pop collaboration hit track lady marmalade lil kim maya pink last year picked award best female pop vocal performance beautiful recent single car wash featuring missy elliott reached number four uk charts last november	1	1	True
paula radcliffe faces arguably biggest test career new york city marathon sunday back spotlight public scrutiny attempt erase double disappointment athens olympics failed finish marathon 10,000m bbc sport examines challenges facing radcliffe ahead big race ability run gruelling 26.2 miles relies largely upon athlete 's belief every runner hit wall stage see written `` strong enough finish '' question could hit radcliffe hard unable complete last two races high-profile emotional circumstances sports psychologist hugh richards says 30-year-old must draw past achievements conquer potential crisis confidence `` old adage 'get straight back horse threw '' richards told bbc sport `` paula got great runs history well two upsets athens `` must lose faith already proven effective strategy distance running `` change preparation tactics would madness `` wants start rebuilding confidence performance accomplishment '' much watching media public two possible outcomes new york win lose radcliffe crosses line first proved critics wrong fails triumph risks labelled has-been profile suffer athlete repercussions terms sponsorship appearance fees well self esteem issues `` athletes need try stay focused internal controls ignore external questions '' explains richards worked past olympians `` must get caught someone else 's agenda '' radcliffe 's best friend fellow distance runner liz yelling revealed 30-year-old already aware exposing public scrutiny new york `` thought 'well ca n't think worse '' yelling told bbc sport `` 's wants thinking consequences '' radcliffe described decision enter new york marathon `` impulsive '' certain tick-list personal goals aims could simple completing race making sure still enjoying running richards says must avoid emotional targets redemption `` ca n't change history '' warned richards `` one person win marathon lots people successful `` paula figure sort things feel satisfied achieving end race '' course staten island central park renowned one toughest world also kind fast course tends suit radcliffe better undulating finish park testing legs final reserves radcliffe never raced enter unknown 77 days athens marathon `` 's suggested major marathon take full month start building '' said yelling marathon runner `` long-term health fitness `` finish marathon still fit recover quickly physically possible paula '' richards also points conditions new york conducive strong physical display radcliffe `` heat stress primary factor tripped athens '' said `` n't going new york 's taken equation '' radcliffe concedes probably learn lot bad experiences athens time richards yelling agree could turn trauma advantage starting new york `` respond adversity marks elite '' argues richards `` one challenges massive set backs turn opportunities '' yelling says `` think probably make paula '' `` think drive 'll come better athlete ''	3	2	False
olympic heptathlon champion carolina kluft full admiration britain 's kelly sotherton pair prepared clash birmingham action friday 60m hurdles long jump ahead european indoor championships later month madrid sotherton finished third behind swede athens kluft said `` knew 's great girl `` looked good early season competing really well '' kluft showed impressive early-season form tuesday stockholm 's ge galan meeting winning sprint hurdles long jump 400m sotherton also displayed promise new high jump personal best sheffield combined norwich union european trials aaa championships second place long jump behind jade johnson	3	1	False
bank england left interest rates hold 4.75 widely-predicted move rates went five times november 2003 bank sought cool housing market consumer debt remained unchanged since august recent data indicated slowdown manufacturing consumer spending well mortgage approvals retail sales disappointed christmas analysts putting drop less consumer confidence rising interest rates accompanying slowdown housing market knocked consumers optimism causing sharp fall demand expensive goods according report earlier week british retail consortium brc said britain 's retailers endured worst christmas decade `` today 's change decision correct '' said david frost director general british chambers commerce bcc `` clear signs economy slows mpc ready take quick corrective action cut rates `` dismal reports retail trade christmas sales worrying indicate general weakening consumer spending '' mr frost added `` housing market outlook remains highly uncertain `` widely accepted house prices start falling sharply risks facing economy worsen considerably '' cbi chief economist ian mccafferty said economy `` slowed recent months response rate rises '' difficult gauge christmas period likely pace activity summer `` bank juggle emergence inflationary pressures driven tight labour market buoyant commodity prices risk over-abrupt slowdown consumer activity '' said `` interest rates likely remain hold time '' thursday gloomy news manufacturing front office national ons statistics revealed british manufacturing output unexpectedly fell november fifth month past six ons said manufacturing output dropped 0.1 november matching similar unrevised fall october confounding economists expectations 0.3 rise manufacturers organisation eef said expected hold interest rates continue near future also said evidence manufacturers confidence may waning outlook world economy becomes uncertain `` far evidence suggests last year 's rate increases helped rebalance economy without damaging recovery manufacturing '' said eef chief economist steve radley `` however business outlook start deteriorate bank stand ready cut rates '' economists predicted rates drop later year although others feel bank may still think need rise happens bank remains concerned long-term risks posed personal debt rising 15 year economic conditions worsen	0	2	False
chancellor gordon brown deliver budget house commons 16 march treasury announced budget likely last general election 1230 gmt wednesday prime minister 's question time annual event chancellor outlines government 's taxation broader economic predictions likely set much tax spending battleground election widely expected may next month 's budget mr brown 's eighth since labour came power 1997 may election called could little 18 days budget announcement date election shortened finance bill would rushed parliament all-party support allow government continue collecting revenue full finance bill budget measures would returned commons election labour secures another term office mr brown announced budget date short ministerial statement accountancy firm ernst young urged put politics aside focus long-term requirements economy `` budgets given immediately last six elections taxes cut incumbent chancellor many cases taxes increased soon election result '' said aidan o'carroll 's uk head tax	2	1	False
veteran labour mp former cabinet minister jack cunningham said stand next election one blair-era ministers serve jim callaghan given agriculture portfolio labour regained power 1997 mr cunningham went become tony blair 's `` cabinet enforcer '' represented constituency known copeland since 1970 mr blair said `` huge figure '' labour `` valued personal friend '' labour 's long period opposition mr cunningham held number shadow roles including foreign affairs environment trade spokesman agriculture minister caused controversy decided ban beef bone wake fears bse quit government 1999 recent years served chairman all-party committee lords reform loyal supporter government backbenches	2	2	True
jesper gronkjaer agreed move atletico madrid birmingham city 27-year-old winger spent five months st andrews following £2.2m move chelsea july playing denmark euro 2004 set move january transfer window deal rumoured £1.4m subject medical `` meet player 's representative finalise contract decide sign '' said atletico sporting director toni munoz gronkjaer targeted blues fans sarcastically applauded taken everton last month boss steve bruce said would happy let danish international go price right added `` 'm going say decision let go fans reaction towards `` tough time since summer loss mother finding difficult adjust new club different area `` terrific missed day 's training someone daughter brought home would delighted `` n't quite worked 'd like get back spent ''	3	2	False
australia raising benchmark interest rate highest level four years despite signs slowdown country 's economy reserve bank australia lifted interest rates 0.25 5.5 first upwards move year however shortly bank made decision new figures showed fall economic growth last quarter bank said acted curb inflation move criticised analysts rate hike first since december 2003 well-flagged advance however opposition parties analysts said move ill-timed given data showing australian economy grew 0.1 october december 1.5 annual basis figures representing decline 0.2 growth gdp seen july september market expectations consumer spending remains strong however bank concerned growing inflationary pressures `` recent months become increasingly clear remaining spare capacity labour goods markets becoming rather limited '' said ian macfarlane governor reserve bank 2.6 inflation remains within bank 's 2-3 target range however exports declined second half 2004 fuelling rise country 's current account deficit difference value imports compared exports record australian dollar 29.4bn australian government said economy remained strong unemployment near 30 year low `` economy strong properly moderating n't look like 's slowing unreasonable way '' said treasurer peter costello stock markets factored likelihood rate rise analysts still expressed concern strength economy `` 1.5 annual growth rate lowest seen since post-election slump saw back 2000-1 '' said michael blythe chief economist commonwealth bank australia `` suggests economy really slow sharply second half 2004 ''	0	1	False
bank england left interest rates hold 4.75 widely-predicted move rates went five times november 2003 bank sought cool housing market consumer debt remained unchanged since august recent data indicated slowdown manufacturing consumer spending well mortgage approvals retail sales disappointed christmas analysts putting drop less consumer confidence rising interest rates accompanying slowdown housing market knocked consumers optimism causing sharp fall demand expensive goods according report earlier week british retail consortium brc said britain 's retailers endured worst christmas decade `` today 's change decision correct '' said david frost director general british chambers commerce bcc `` clear signs economy slows mpc ready take quick corrective action cut rates `` dismal reports retail trade christmas sales worrying indicate general weakening consumer spending '' mr frost added `` housing market outlook remains highly uncertain `` widely accepted house prices start falling sharply risks facing economy worsen considerably '' cbi chief economist ian mccafferty said economy `` slowed recent months response rate rises '' difficult gauge christmas period likely pace activity summer `` bank juggle emergence inflationary pressures driven tight labour market buoyant commodity prices risk over-abrupt slowdown consumer activity '' said `` interest rates likely remain hold time '' thursday gloomy news manufacturing front office national ons statistics revealed british manufacturing output unexpectedly fell november fifth month past six ons said manufacturing output dropped 0.1 november matching similar unrevised fall october confounding economists expectations 0.3 rise manufacturers organisation eef said expected hold interest rates continue near future also said evidence manufacturers confidence may waning outlook world economy becomes uncertain `` far evidence suggests last year 's rate increases helped rebalance economy without damaging recovery manufacturing '' said eef chief economist steve radley `` however business outlook start deteriorate bank stand ready cut rates '' economists predicted rates drop later year although others feel bank may still think need rise happens bank remains concerned long-term risks posed personal debt rising 15 year economic conditions worsen	0	2	False
india 's rupee hit five-year high standard poor 's raised country 's foreign currency rating rupee climbed 43.305 per us dollar thursday close 43.41 currency gained almost past three sessions rates borrowers creditworthiness lifted india 's rating one notch 'bb+ indian assets seen less gamble cash expected flow markets buoying rupee `` upgrade positive basically people use excuse come back india '' said bhanu baweja strategist ubs `` money moved india first two three weeks january markets like korea thailand upgrade lead reversal '' india 's foreign currency rating one notch investment grade starts 'bbb- increase put level romania egypt el salvador one level russia	0	1	False
hollywood stars including spike lee burt reynolds oscar nominee alan alda paid tribute actor ossie davis funeral new york veteran star ossie davis well-known civil rights activist died miami age 87 february 2005 friends family including actress ruby dee wife 56 years gathered riverside church saturday also present service former us president bill clinton singer harry belafonte gave eulogy `` would good president united states '' said mr clinton `` like gave gave '' 87-year-old found dead last weekend hotel room florida making film police said appeared died natural causes davis made acting debut 1950 way starring sidney poiter frequently collaborated director spike lee starring seven lee films including jungle fever right thing malcolm x. attallah shabazz daughter activist malcolm recalled famous eulogy delivered davis father 's funeral `` harlem come bid farewell one finest hopes '' said quoting man knew uncle ossie `` ditto '' `` ossie hero still '' said aviator star alan alda family friend forty years `` ossie thing beauty '' `` want badly someday dignity little anyway '' added burt reynolds davis 's co-star 90s tv comedy evening shade midday funeral scores harlem residents formed queue outside church pay respects davis `` hard fathom longer able call wisdom humour loyalty moral strength guide us choices yet made battles yet fought '' said belafonte ardent civil rights activist friends davis 60 years `` fortunate long ''	1	2	False
